model,referecne,metric,value
growth_rate_simulated_iAF1260,is_essential_file_can_grow,Accuracy,0.8709677419354839
growth_rate_simulated_iAF1260,is_essential_file_can_grow,Precision,0.9086069210292813
growth_rate_simulated_iAF1260,is_essential_file_can_grow,Recall,0.9472710453283997
growth_rate_simulated_iAF1260,is_essential_file_can_grow,F1 Score,0.927536231884058
growth_rate_simulated_iAF1260,is_essential_file_can_grow,Specificity,0.049689440993788817
growth_rate_simulated_iAF1260,growth_rate_file_1,Accuracy,0.8786610878661087
growth_rate_simulated_iAF1260,growth_rate_file_1,Precision,0.9231481481481482
growth_rate_simulated_iAF1260,growth_rate_file_1,Recall,0.9414542020774316
growth_rate_simulated_iAF1260,growth_rate_file_1,F1 Score,0.9322113136979897
growth_rate_simulated_iAF1260,growth_rate_file_1,Specificity,0.049074074074074076
growth_rate_simulated_iAF1260,growth_rate_file_2,Accuracy,0.95483288166215
growth_rate_simulated_iAF1260,growth_rate_file_2,Precision,1.0
growth_rate_simulated_iAF1260,growth_rate_file_2,Recall,0.95483288166215
growth_rate_simulated_iAF1260,growth_rate_file_2,F1 Score,0.976894639556377
growth_rate_simulated_iAF1260,growth_rate_file_2,Specificity,0.0
growth_rate_simulated_iAF1260b,is_essential_file_can_grow,Accuracy,0.8685483870967742
growth_rate_simulated_iAF1260b,is_essential_file_can_grow,Precision,0.9105545617173524
growth_rate_simulated_iAF1260b,is_essential_file_can_grow,Recall,0.9417206290471786
growth_rate_simulated_iAF1260b,is_essential_file_can_grow,F1 Score,0.9258753979081401
growth_rate_simulated_iAF1260b,is_essential_file_can_grow,Specificity,0.052772808586762074
growth_rate_simulated_iAF1260b,growth_rate_file_1,Accuracy,0.8711297071129707
growth_rate_simulated_iAF1260b,growth_rate_file_1,Precision,0.9225023342670402
growth_rate_simulated_iAF1260b,growth_rate_file_1,Recall,0.9329556185080264
growth_rate_simulated_iAF1260b,growth_rate_file_1,F1 Score,0.9276995305164318
growth_rate_simulated_iAF1260b,growth_rate_file_1,Specificity,0.04948646125116713
growth_rate_simulated_iAF1260b,growth_rate_file_2,Accuracy,0.94579945799458
growth_rate_simulated_iAF1260b,growth_rate_file_2,Precision,1.0
growth_rate_simulated_iAF1260b,growth_rate_file_2,Recall,0.94579945799458
growth_rate_simulated_iAF1260b,growth_rate_file_2,F1 Score,0.9721448467966574
growth_rate_simulated_iAF1260b,growth_rate_file_2,Specificity,0.0
growth_rate_simulated_iAPECO1_1312,is_essential_file_can_grow,Accuracy,0.8942307692307693
growth_rate_simulated_iAPECO1_1312,is_essential_file_can_grow,Precision,0.9157894736842105
growth_rate_simulated_iAPECO1_1312,is_essential_file_can_grow,Recall,0.9666666666666667
growth_rate_simulated_iAPECO1_1312,is_essential_file_can_grow,F1 Score,0.9405405405405406
growth_rate_simulated_iAPECO1_1312,is_essential_file_can_grow,Specificity,0.06315789473684211
growth_rate_simulated_iAPECO1_1312,growth_rate_file_1,Accuracy,0.900990099009901
growth_rate_simulated_iAPECO1_1312,growth_rate_file_1,Precision,0.9239130434782609
