Name,reference,Accuracy,Precision,Recall,F1 Score,Specificity
aaeA,is_essential_file_can_grow,1.0,1.0,1.0,1.0,0.0
aaeA,growth_rate_file_1,1.0,1.0,1.0,1.0,0.0
aaeA,growth_rate_file_2,1.0,1.0,1.0,1.0,0.0
aaeB,is_essential_file_can_grow,1.0,1.0,1.0,1.0,0.0
aaeB,growth_rate_file_1,1.0,1.0,1.0,1.0,0.0
aaeB,growth_rate_file_2,1.0,1.0,1.0,1.0,0.0
aas,is_essential_file_can_grow,1.0,1.0,1.0,1.0,0.0
aas,growth_rate_file_1,1.0,1.0,1.0,1.0,0.0
aas,growth_rate_file_2,1.0,1.0,1.0,1.0,0.0
aat,is_essential_file_can_grow,1.0,1.0,1.0,1.0,0.0
aat,growth_rate_file_1,1.0,1.0,1.0,1.0,0.0
aat,growth_rate_file_2,1.0,1.0,1.0,1.0,0.0
abgA,is_essential_file_can_grow,1.0,1.0,1.0,1.0,0.0
abgA,growth_rate_file_1,1.0,1.0,1.0,1.0,0.0
abgA,growth_rate_file_2,1.0,1.0,1.0,1.0,0.0
abgB,is_essential_file_can_grow,1.0,1.0,1.0,1.0,0.0
abgB,growth_rate_file_1,1.0,1.0,1.0,1.0,0.0
abgB,growth_rate_file_2,1.0,1.0,1.0,1.0,0.0
abgT,growth_rate_file_1,1.0,1.0,1.0,1.0,0.0
abgT,growth_rate_file_2,1.0,1.0,1.0,1.0,0.0
accA,is_essential_file_can_grow,0.8333333333333334,0.0,,,5.0
accA,growth_rate_file_1,0.8333333333333334,0.0,,,5.0
accB,is_essential_file_can_grow,0.8333333333333334,0.0,,,5.0
accB,growth_rate_file_1,0.8333333333333334,0.0,,,5.0
accC,is_essential_file_can_grow,0.7777777777777778,0.0,,,3.5
accC,growth_rate_file_1,0.7777777777777778,0.0,,,3.5
accD,is_essential_file_can_grow,0.8888888888888888,0.0,,,8.0
accD,growth_rate_file_1,0.8888888888888888,0.0,,,8.0
aceA,is_essential_file_can_grow,1.0,1.0,1.0,1.0,0.0
aceA,growth_rate_file_1,1.0,1.0,1.0,1.0,0.0
aceA,growth_rate_file_2,1.0,1.0,1.0,1.0,0.0
aceB,is_essential_file_can_grow,1.0,1.0,1.0,1.0,0.0
aceB,growth_rate_file_1,1.0,1.0,1.0,1.0,0.0
aceB,growth_rate_file_2,1.0,1.0,1.0,1.0,0.0
aceE,growth_rate_file_1,1.0,1.0,1.0,1.0,0.0
aceE,growth_rate_file_2,1.0,1.0,1.0,1.0,0.0
aceF,is_essential_file_can_grow,0.0,0.0,,,0.0
aceF,growth_rate_file_1,1.0,1.0,1.0,1.0,0.0
aceF,growth_rate_file_2,1.0,1.0,1.0,1.0,0.0
ackA,is_essential_file_can_grow,1.0,1.0,1.0,1.0,0.0
ackA,growth_rate_file_1,1.0,1.0,1.0,1.0,0.0
ackA,growth_rate_file_2,1.0,1.0,1.0,1.0,0.0
acnA,is_essential_file_can_grow,1.0,1.0,1.0,1.0,0.0
acnA,growth_rate_file_1,1.0,1.0,1.0,1.0,0.0
acnA,growth_rate_file_2,1.0,1.0,1.0,1.0,0.0
acnB,growth_rate_file_1,1.0,1.0,1.0,1.0,0.0
acnB,growth_rate_file_2,1.0,1.0,1.0,1.0,0.0
acpH,is_essential_file_can_grow,1.0,1.0,1.0,1.0,0.0
acpH,growth_rate_file_2,1.0,1.0,1.0,1.0,0.0
acpP,is_essential_file_can_grow,0.5945945945945946,0.0,,,1.4666666666666666
acpP,growth_rate_file_1,0.5945945945945946,0.0,,,1.4666666666666666
acpS,is_essential_file_can_grow,0.0,0.0,,,0.0
acpS,growth_rate_file_1,0.0,0.0,,,0.0
acpT,is_essential_file_can_grow,1.0,1.0,1.0,1.0,0.0
acpT,growth_rate_file_1,1.0,1.0,1.0,1.0,0.0
acpT,growth_rate_file_2,1.0,1.0,1.0,1.0,0.0
acrA,is_essential_file_can_grow,1.0,1.0,1.0,1.0,0.0
acrA,growth_rate_file_1,1.0,1.0,1.0,1.0,0.0
acrA,growth_rate_file_2,1.0,1.0,1.0,1.0,0.0
acrB,is_essential_file_can_grow,1.0,1.0,1.0,1.0,0.0
acrB,growth_rate_file_1,1.0,1.0,1.0,1.0,0.0
acrB,growth_rate_file_2,1.0,1.0,1.0,1.0,0.0
acrD,is_essential_file_can_grow,1.0,1.0,1.0,1.0,0.0
acrD,growth_rate_file_1,1.0,1.0,1.0,1.0,0.0
acrD,growth_rate_file_2,1.0,1.0,1.0,1.0,0.0
acrE,is_essential_file_can_grow,1.0,1.0,1.0,1.0,0.0
acrE,growth_rate_file_1,1.0,1.0,1.0,1.0,0.0
acrE,growth_rate_file_2,1.0,1.0,1.0,1.0,0.0
acrF,is_essential_file_can_grow,1.0,1.0,1.0,1.0,0.0
acrF,growth_rate_file_1,1.0,1.0,1.0,1.0,0.0
acrF,growth_rate_file_2,1.0,1.0,1.0,1.0,0.0
acs,is_essential_file_can_grow,1.0,1.0,1.0,1.0,0.0
acs,growth_rate_file_1,1.0,1.0,1.0,1.0,0.0
acs,growth_rate_file_2,1.0,1.0,1.0,1.0,0.0
actP,is_essential_file_can_grow,1.0,1.0,1.0,1.0,0.0
actP,growth_rate_file_1,1.0,1.0,1.0,1.0,0.0
actP,growth_rate_file_2,1.0,1.0,1.0,1.0,0.0
